Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
30-Jan,1,1,0,0,0,0
31-Jan,0,1,0,0,0,0
01-Feb,0,1,0,0,0,0
02-Feb,1,2,0,0,0,0
03-Feb,1,3,0,0,0,0
04-Feb,0,3,0,0,0,0
05-Feb,0,3,0,0,0,0
06-Feb,0,3,0,0,0,0
07-Feb,0,3,0,0,0,0
08-Feb,0,3,0,0,0,0
09-Feb,0,3,0,0,0,0
10-Feb,0,3,0,0,0,0
11-Feb,0,3,0,0,0,0
12-Feb,0,3,0,0,0,0
13-Feb,0,3,1,1,0,0
14-Feb,0,3,0,1,0,0
15-Feb,0,3,0,1,0,0
16-Feb,0,3,1,2,0,0
17-Feb,0,3,0,2,0,0
18-Feb,0,3,0,2,0,0
19-Feb,0,3,0,2,0,0
20-Feb,0,3,1,3,0,0
21-Feb,0,3,0,3,0,0
22-Feb,0,3,0,3,0,0
23-Feb,0,3,0,3,0,0
24-Feb,0,3,0,3,0,0
25-Feb,0,3,0,3,0,0
26-Feb,0,3,0,3,0,0
27-Feb,0,3,0,3,0,0
28-Feb,0,3,0,3,0,0
29-Feb,0,3,0,3,0,0
01-Mar,0,3,0,3,0,0
02-Mar,2,5,0,3,0,0
03-Mar,1,6,0,3,0,0
04-Mar,22,28,0,3,0,0
05-Mar,2,30,0,3,0,0
06-Mar,1,31,0,3,0,0
07-Mar,3,34,0,3,0,0
08-Mar,5,39,0,3,0,0
09-Mar,9,48,0,3,0,0
10-Mar,15,63,1,4,0,0
11-Mar,7,70,0,4,0,0
12-Mar,12,82,0,4,1,1
13-Mar,9,91,6,10,0,1
14-Mar,16,107,0,10,1,2
15-Mar,6,113,3,13,0,2
16-Mar,14,127,1,14,0,2
17-Mar,19,146,1,15,1,3
18-Mar,25,171,0,15,0,3
19-Mar,28,199,5,20,1,4
20-Mar,59,258,3,23,0,4
21-Mar,76,334,0,23,0,4
22-Mar,69,403,0,23,3,7
23-Mar,102,505,2,25,2,9
24-Mar,66,571,15,40,1,10
25-Mar,86,657,3,43,1,11
26-Mar,78,735,7,50,5,16
27-Mar,151,886,25,75,3,19
28-Mar,143,1029,10,85,5,24
29-Mar,110,1139,17,102,3,27
30-Mar,208,1347,35,137,16,43
31-Mar,288,1635,13,150,6,49
01-Apr,424,2059,19,169,7,56
02-Apr,486,2545,22,191,16,72
03-Apr,563,3108,38,229,14,86
