State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths
Total,3127,229,86,2812,04-04-2020 10:27,TT,19,0,0
Maharashtra,490,50,26,414,03-04-2020 21:12,MH,0,0,0
Tamil Nadu,411,6,1,404,03-04-2020 17:37,TN,0,0,0
Delhi,386,8,6,372,03-04-2020 23:32,DL,0,0,0
Kerala,295,42,2,251,03-04-2020 19:07,KL,0,0,0
Telangana,229,32,11,186,03-04-2020 20:27,TG,0,0,0
Rajasthan,196,3,0,193,04-04-2020 10:27,RJ,17,0,0
Uttar Pradesh,174,17,2,155,03-04-2020 23:57,UP,0,0,0
Andhra Pradesh,164,2,1,161,03-04-2020 23:32,AP,0,0,0
Madhya Pradesh,154,0,8,146,03-04-2020 23:52,MP,0,0,0
Karnataka,128,11,4,113,03-04-2020 23:42,KA,0,0,0
Gujarat,95,10,9,76,04-04-2020 03:02,GJ,0,0,0
Jammu and Kashmir,75,3,2,70,03-04-2020 17:37,JK,0,0,0
Haryana,58,27,0,31,03-04-2020 20:27,HR,0,0,0
West Bengal,53,3,6,44,02-04-2020 18:32,WB,0,0,0
Punjab,53,1,5,47,02-04-2020 21:02,PB,0,0,0
Bihar,31,3,1,27,03-04-2020 21:12,BR,0,0,0
Assam,24,0,0,24,04-04-2020 09:42,AS,1,0,0
Odisha,20,2,0,18,03-04-2020 23:42,OR,0,0,0
Chandigarh,18,0,0,18,02-04-2020 18:57,CH,0,0,0
Uttarakhand,16,2,0,14,03-04-2020 21:47,UT,0,0,0
Ladakh,14,3,0,11,27-03-2020 11:52,LA,0,0,0
Andaman and Nicobar Islands,10,0,0,10,30-03-2020 11:27,AN,0,0,0
Chhattisgarh,9,3,0,6,31-03-2020 23:07,CT,0,0,0
Himachal Pradesh,6,1,2,3,03-04-2020 17:17,HP,0,0,0
Goa,7,0,0,7,04-04-2020 09:42,GA,1,0,0
Puducherry,5,0,0,5,03-04-2020 02:37,PY,0,0,0
Jharkhand,2,0,0,2,02-04-2020 19:42,JH,0,0,0
Manipur,2,0,0,2,02-04-2020 09:42,MN,0,0,0
Mizoram,1,0,0,1,26-03-2020 07:19,MZ,0,0,0
Arunachal Pradesh,1,0,0,1,02-04-2020 11:42,AR,0,0,0
Dadra and Nagar Haveli,0,0,0,0,26-03-2020 07:19,DN,0,0,0
Daman and Diu,0,0,0,0,26-03-2020 07:19,DD,0,0,0
Lakshadweep,0,0,0,0,26-03-2020 07:19,LD,0,0,0
Meghalaya,0,0,0,0,26-03-2020 07:19,ML,0,0,0
Nagaland,0,0,0,0,26-03-2020 07:19,NL,0,0,0
Sikkim,0,0,0,0,26-03-2020 07:19,SK,0,0,0
Tripura,0,0,0,0,26-03-2020 07:19,TR,0,0,0
